Initial condition file for si3d model            - 
104_HgTest             - 
Simulation starting on 2023-01-01 00:00:00 UTC    - 
Depths (m)   Temp (oC)   Tracers (g/L) -->       - 
Source: From constant values                     - 
         z          T        Hg0       HgII       MeHg
----------------------------------------------------------------- 
     -0.25     4.0000     0.0010     0.0100     0.0100
     -0.25     4.0000     0.0010     0.0100     0.0100
     -0.75     4.0000     0.0010     0.0100     0.0100
     -1.25     4.0000     0.0010     0.0100     0.0100
     -1.75     4.0000     0.0010     0.0100     0.0100
     -2.25     4.0000     0.0010     0.0100     0.0100
     -2.75     4.0000     0.0010     0.0100     0.0100
     -3.25     4.0000     0.0010     0.0100     0.0100
     -3.75     4.0000     0.0010     0.0100     0.0100
     -4.25     4.0000     0.0010     0.0100     0.0100
     -4.75     4.0000     0.0010     0.0100     0.0100
     -5.25     4.0000     0.0010     0.0100     0.0100
     -5.75     4.0000     0.0010     0.0100     0.0100
     -6.25     4.0000     0.0010     0.0100     0.0100
     -6.75     4.0000     0.0010     0.0100     0.0100
     -7.25     4.0000     0.0010     0.0100     0.0100
     -7.75     4.0000     0.0010     0.0100     0.0100
     -8.25     4.0000     0.0010     0.0100     0.0100
     -8.75     4.0000     0.0010     0.0100     0.0100
     -9.25     4.0000     0.0010     0.0100     0.0100
     -9.75     4.0000     0.0010     0.0100     0.0100
     -9.75     4.0000     0.1010     0.1100     0.2100
