Initial condition file for Si3D model  - 
Stratification for Clear Lake          - 
Simulation starting on 2020-06-08 03:00:00 - 
Depths (m) not used;  Temp (oC);  WQ [mg/m3], SS [mg/m3], Hg [ng/m3], Tracers (M/V) --> - 
Source: From CTD_Profile
         z          T         DO        PON        DON        NH4        NO3        POP        DOP        PO4        POC        DOC       ALG1        SS1        Hg0       HgII       MeHg
-----------------------------------------------------------------
     -0.25    20.6994  6393.7500    69.3869   372.7066    10.6753     4.6322     7.2710    14.9428    34.5153   287.2347  3152.7911   170.0000     0.0000     0.0000     0.0000     0.0000 
     -0.25    20.6994  6393.7500    69.3869   372.7066    10.6753     4.6322     7.2710    14.9428    34.5153   287.2347  3152.7911   170.0000     0.0000     0.0000     0.0000     0.0000 
     -0.75    20.6981  6381.2500    68.4978   371.6397    11.3659     4.6966     6.8728    14.9284    35.4259   285.5995  3161.2972   170.0000     0.0000     0.0000     0.0000     0.0000 
     -1.25    20.6969  6368.7500    67.6087   370.5728    12.0566     4.7609     6.4745    14.9141    36.3366   283.9643  3169.8033   170.0000     0.0000     0.0000     0.0000     0.0000 
     -1.75    20.6956  6356.2500    66.7196   369.5059    12.7472     4.8253     6.0763    14.8997    37.2472   282.3291  3178.3094   170.0000     0.0000     0.0000     0.0000     0.0000 
     -2.25    20.6944  6343.7500    65.8305   368.4391    13.4378     4.8897     5.6781    14.8853    38.1578   280.6939  3186.8155   170.0000     0.0000     0.0000     0.0000     0.0000 
     -2.75    20.6931  6331.2500    64.9414   367.3722    14.1284     4.9541     5.2799    14.8709    39.0684   279.0587  3195.3216   170.0000     0.0000     0.0000     0.0000     0.0000 
     -3.25    20.6919  6318.7500    64.0523   366.3053    14.8191     5.0184     4.8816    14.8566    39.9791   277.4235  3203.8277   170.0000     0.0000     0.0000     0.0000     0.0000 
     -3.75    20.6906  6306.2500    63.1632   365.2384    15.5097     5.0828     4.4834    14.8422    40.8897   275.7883  3212.3338   170.0000     0.0000     0.0000     0.0000     0.0000 
     -4.25    20.6894  6293.7500    62.2740   364.1716    16.2003     5.1472     4.0852    14.8278    41.8003   274.1532  3220.8400   170.0000     0.0000     0.0000     0.0000     0.0000 
     -4.75    20.6881  6281.2500    61.3849   363.1047    16.8909     5.2116     3.6870    14.8134    42.7109   272.5180  3229.3461   170.0000     0.0000     0.0000     0.0000     0.0000 
     -5.25    20.6869  6268.7500    60.4958   362.0378    17.5816     5.2759     3.2887    14.7991    43.6216   270.8828  3237.8522   170.0000     0.0000     0.0000     0.0000     0.0000 
     -5.75    20.6856  6256.2500    59.6067   360.9709    18.2722     5.3403     2.8905    14.7847    44.5322   269.2476  3246.3583   170.0000     0.0000     0.0000     0.0000     0.0000 
     -6.25    20.6844  6243.7500    58.7176   359.9041    18.9628     5.4047     2.4923    14.7703    45.4428   267.6124  3254.8644   170.0000     0.0000     0.0000     0.0000     0.0000 
     -6.75    20.6831  6231.2500    57.8285   358.8372    19.6534     5.4691     2.0941    14.7559    46.3534   265.9772  3263.3705   170.0000     0.0000     0.0000     0.0000     0.0000 
     -7.25    20.6819  6218.7500    56.9394   357.7703    20.3441     5.5334     1.6958    14.7416    47.2641   264.3420  3271.8766   170.0000     0.0000     0.0000     0.0000     0.0000 
     -7.75    20.6806  6206.2500    56.0503   356.7034    21.0347     5.5978     1.2976    14.7272    48.1747   262.7068  3280.3827   170.0000     0.0000     0.0000     0.0000     0.0000 
     -8.25    20.6762  6162.5000    54.7323   354.8750    21.6725     5.7325     1.1419    15.1975    48.6588   259.7088  3284.7723   170.0000     0.0000     0.0000     0.0000     0.0000 
     -8.75    20.6687  6087.5000    52.9855   352.2850    22.2575     5.9375     1.2288    16.1525    48.7163   255.3479  3285.0452   170.0000     0.0000     0.0000     0.0000     0.0000 
     -9.25    20.6612  6012.5000    51.2386   349.6950    22.8425     6.1425     1.3157    17.1075    48.7738   250.9870  3285.3182   170.0000     0.0000     0.0000     0.0000     0.0000 
     -9.75    20.6537  5937.5000    49.4918   347.1050    23.4275     6.3475     1.4026    18.0625    48.8312   246.6261  3285.5911   170.0000     0.0000     0.0000     0.0000     0.0000 
    -10.25    20.6375  5850.0000    42.9919   353.0900    22.7100     6.4500     2.2570    17.3875    48.6875   216.8929  3306.4541   170.0000     0.0000     0.0000     0.0000     0.0000 
