Initial condition file for Si3D model  - 
Stratification for Clear Lake          - 
Simulation starting on 2022-07-9 03:00:00 - 
Depths (m) not used;  Temp (oC);  WQ [mg/m3], SS [mg/m3], Hg [ng/m3], Tracers (M/V) --> - 
Source: From CTD_Profile
         z          T         TR        DO        PON        DON        NH4        NO3        POP        DOP        PO4        POC        DOC       ALG1        SS1        Hg0       HgII       MeHg
-----------------------------------------------------------------
     -0.25    26.9688     0.0000  6968.7500    56.4621   646.8691     3.2531     1.6100    17.0899    30.7700   342.9241   518.0151  5909.1118   900.0000     0.0000     0.0000     0.0000     0.0000 
     -0.25    26.9688     0.0000  6968.7500    56.4621   646.8691     3.2531     1.6100    17.0899    30.7700   342.9241   518.0151  5909.1118   900.0000     0.0000     0.0000     0.0000     0.0000 
     -0.75    26.9062     0.0000  6906.2500    56.1449   647.9272     3.5194     1.6100    17.2584    30.6100   346.0122   498.2718  5879.3100   900.0000     0.0000     0.0000     0.0000     0.0000 
     -1.25    26.8438     0.0000  6843.7500    55.8277   648.9853     3.7856     1.6100    17.4269    30.4500   349.1003   478.5285  5849.5081   900.0000     0.0000     0.0000     0.0000     0.0000 
     -1.75    26.7812     0.0000  6781.2500    55.5106   650.0434     4.0519     1.6100    17.5954    30.2900   352.1884   458.7852  5819.7062   900.0000     0.0000     0.0000     0.0000     0.0000 
     -2.25    26.7188     0.0000  6718.7500    55.1934   651.1016     4.3181     1.6100    17.7639    30.1300   355.2766   439.0419  5789.9044   900.0000     0.0000     0.0000     0.0000     0.0000 
     -2.75    26.6562     0.0000  6656.2500    54.8763   652.1597     4.5844     1.6100    17.9323    29.9700   358.3647   419.2986  5760.1025   900.0000     0.0000     0.0000     0.0000     0.0000 
     -3.25    26.5938     0.0000  6593.7500    54.5591   653.2178     4.8506     1.6100    18.1008    29.8100   361.4528   399.5554  5730.3007   900.0000     0.0000     0.0000     0.0000     0.0000 
     -3.75    26.5312     0.0000  6531.2500    54.2420   654.2759     5.1169     1.6100    18.2693    29.6500   364.5409   379.8121  5700.4988   900.0000     0.0000     0.0000     0.0000     0.0000 
