  1  2 24 16      0.25      0.00      0.00      0.00     26.96     -7.25    421.75     23.62     23.38     -0.25      0.00      0.00-876135.63      0.00
  2  2 24 16     -0.25      0.00       NaN       NaN     26.96     -7.25    421.75     23.62     23.38     -0.25       NaN       NaN      0.00       NaN
  3  2 24 16     -0.75    -31.27    312.68      0.00     26.88     -7.25    421.75     23.62     23.38     -0.25      6.10      0.00      0.00      0.00
  4  2 24 16     -1.25    -29.08    290.77      0.00     26.81     -7.25    421.75     23.62     23.38     -0.25      0.83      0.00      0.00      0.00
  5  2 24 16     -1.75    -27.02    270.16      0.00     26.73     -7.25    421.75     23.62     23.38     -0.25      0.83      0.00      0.00      0.00
  6  2 24 16     -2.25    -25.06    250.64      0.00     26.65     -7.25    421.75     23.62     23.38     -0.25      0.83      0.00      0.00      0.00
  7  2 24 16     -2.75    -23.21    232.06      0.00     26.58     -7.25    421.75     23.62     23.38     -0.25      0.83      0.00      0.00      0.00
  8  2 24 16     -3.25    -21.43    214.27      0.00     26.50     -7.25    421.75     23.62     23.38     -0.25      0.84      0.00      0.00      0.00
  9  2 24 16     -3.75    -19.73    197.25      0.00     26.42     -7.25    421.75     23.62     23.38     -0.25      0.84      0.00      0.00      0.00
 10  2 24 16     -4.25    -18.09    180.93      0.00     26.35     -7.25    421.75     23.62     23.38     -0.25      0.85      0.00      0.00      0.00
 11  2 24 16     -4.75    -16.52    165.20      0.00     26.27     -7.25    421.75     23.62     23.38     -0.25      0.87      0.00      0.00      0.00
 12  2 24 16     -5.25    -15.00    149.95      0.00     26.19     -7.25    421.75     23.62     23.38     -0.25      0.89      0.00      0.00      0.00
 13  2 24 16     -5.75    -13.51    135.09      0.00     26.12     -7.25    421.75     23.62     23.38     -0.25      0.92      0.00      0.00      0.00
 14  2 24 16     -6.25    -12.05    120.50      0.00     26.04     -7.25    421.75     23.62     23.38     -0.25      0.97      0.00      0.00      0.00
 15  2 24 16     -6.75    -10.61    106.07      0.00     25.12     -7.25    421.75     23.62     23.38     -0.25      1.03      0.00      0.00      0.00
 16  2 24 16     -7.25    421.75     91.59      0.00     23.38     -7.25    421.75     23.62     23.38     -0.25      1.13      0.00      0.00      0.00
 17  2 24 16     -7.75     -7.69     76.90      0.00     21.62     -7.25    421.75     23.62     23.38     -0.25      1.27      0.00      0.00      0.00
 18  2 24 16     -8.25     -6.21     62.07      0.00     19.88     -7.25    421.75     23.62     23.38     -0.25      1.51      0.00      0.00      0.00
 19  2 24 16     -8.75     -4.75     47.52      0.00     18.97     -7.25    421.75     23.62     23.38     -0.25      1.91      0.00      0.00      0.00
 20  2 24 16     -9.25     -3.43     34.26      0.00     18.92     -7.25    421.75     23.62     23.38     -0.25      2.58      0.00      0.00      0.00
 21  2 24 16     -9.75     -2.38     23.76      0.00     18.87     -7.25    421.75     23.62     23.38     -0.25      3.64      0.00      0.00      0.00
 22  2 24 16    -10.25     -1.72     17.16      0.00     18.82     -7.25    421.75     23.62     23.38     -0.25      4.94      0.00      0.00      0.00
 23  2 24 16    -10.75     -1.43     14.26      0.00     18.76     -7.25    421.75     23.62     23.38     -0.25      5.85      0.00      0.00      0.00
 24  2 24 16    -11.25   -131.60   1316.01      0.00     18.71     -7.25    421.75     23.62     23.38     -0.25      6.12      0.00      0.00      0.00
  1  2 25 16      0.25      0.00      0.00      0.00     26.96     -7.25    429.84     23.56     23.38     -0.25      0.00      0.00-875498.96      0.00
  2  2 25 16     -0.25      0.00       NaN       NaN     26.96     -7.25    429.84     23.56     23.38     -0.25       NaN       NaN      0.00       NaN
  3  2 25 16     -0.75    -31.09    310.91      0.00     26.88     -7.25    429.84     23.56     23.38     -0.25      6.10      0.00      0.00      0.00
  4  2 25 16     -1.25    -28.94    289.45      0.00     26.81     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  5  2 25 16     -1.75    -26.93    269.29      0.00     26.73     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  6  2 25 16     -2.25    -25.02    250.25      0.00     26.65     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  7  2 25 16     -2.75    -23.22    232.19      0.00     26.58     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  8  2 25 16     -3.25    -21.50    214.97      0.00     26.50     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
