Initial condition file for Si3D model  - 
Stratification for Clear Lake          - 
Simulation starting on 2022-07-9 03:00:00 - 
Depths (m) not used;  Temp (oC);  WQ [mg/m3], SS [mg/m3], Hg [ng/m3], Tracers (M/V) --> - 
Source: From CTD_Profile
         z          T         TR        DO        PON        DON        NH4        NO3        POP        DOP        PO4        POC        DOC       ALG1        SS1        Hg0       HgII       MeHg
-----------------------------------------------------------------
     -0.25    26.9615     0.0000     6.9615    56.4621   646.8691     3.2531     1.6100    17.0899    30.7700   342.9241   518.0151  5909.1118   900.0000     0.0000     0.0000     0.0000     0.0000 
     -0.25    26.9615     0.0000     6.9615    56.4621   646.8691     3.2531     1.6100    17.0899    30.7700   342.9241   518.0151  5909.1118   900.0000     0.0000     0.0000     0.0000     0.0000 
     -0.75    26.8846     0.0000     6.8846    56.1449   647.9272     3.5194     1.6100    17.2584    30.6100   346.0122   498.2718  5879.3100   900.0000     0.0000     0.0000     0.0000     0.0000 
     -1.25    26.8077     0.0000     6.8077    55.8277   648.9853     3.7856     1.6100    17.4269    30.4500   349.1003   478.5285  5849.5081   900.0000     0.0000     0.0000     0.0000     0.0000 
     -1.75    26.7308     0.0000     6.7308    55.5106   650.0434     4.0519     1.6100    17.5954    30.2900   352.1884   458.7852  5819.7062   900.0000     0.0000     0.0000     0.0000     0.0000 
     -2.25    26.6538     0.0000     6.6538    55.1934   651.1016     4.3181     1.6100    17.7639    30.1300   355.2766   439.0419  5789.9044   900.0000     0.0000     0.0000     0.0000     0.0000 
     -2.75    26.5769     0.0000     6.5769    54.8763   652.1597     4.5844     1.6100    17.9323    29.9700   358.3647   419.2986  5760.1025   900.0000     0.0000     0.0000     0.0000     0.0000 
     -3.25    26.5000     0.0000     6.5000    54.5591   653.2178     4.8506     1.6100    18.1008    29.8100   361.4528   399.5554  5730.3007   900.0000     0.0000     0.0000     0.0000     0.0000 
     -3.75    26.4231     0.0000     6.4231    54.2420   654.2759     5.1169     1.6100    18.2693    29.6500   364.5409   379.8121  5700.4988   900.0000     0.0000     0.0000     0.0000     0.0000 
     -4.25    26.3462     0.0000     6.3462    53.9248   655.3341     5.3831     1.6100    18.4378    29.4900   367.6291   360.0688  5670.6970   900.0000     0.0000     0.0000     0.0000     0.0000 
     -4.75    26.2692     0.0000     6.2692    53.6077   656.3922     5.6494     1.6100    18.6063    29.3300   370.7172   340.3255  5640.8951   900.0000     0.0000     0.0000     0.0000     0.0000 
     -5.25    26.1923     0.0000     6.1923    53.2905   657.4503     5.9156     1.6100    18.7748    29.1700   373.8053   320.5822  5611.0933   900.0000     0.0000     0.0000     0.0000     0.0000 
     -5.75    26.1154     0.0000     6.1154    52.9734   658.5084     6.1819     1.6100    18.9433    29.0100   376.8934   300.8389  5581.2914   900.0000     0.0000     0.0000     0.0000     0.0000 
     -6.25    26.0385     0.0000     6.0385    52.6562   659.5666     6.4481     1.6100    19.1118    28.8500   379.9816   281.0956  5551.4896   900.0000     0.0000     0.0000     0.0000     0.0000 
     -6.75    25.1250     0.0000     5.5000    52.3391   660.6247     6.7144     1.6100    19.2803    28.6900   383.0697   261.3523  5521.6877   900.0000     0.0000     0.0000     0.0000     0.0000 
     -7.25    23.3750     0.0000     4.5000    52.0219   661.6828     6.9806     1.6100    19.4487    28.5300   386.1578   241.6090  5491.8859   900.0000     0.0000     0.0000     0.0000     0.0000 
     -7.75    21.6250     0.0000     3.5000    51.7047   662.7409     7.2469     1.6100    19.6172    28.3700   389.2459   221.8658  5462.0840   900.0000     0.0000     0.0000     0.0000     0.0000 
     -8.25    19.8750     0.0000     2.5000    49.2570   662.3937    13.8500     1.6600    19.3404    28.6837   396.5700   192.9179  5452.4068   900.0000     0.0000     0.0000     0.0000     0.0000 
     -8.75    18.9737     0.0000     1.9737    44.6787   660.6413    26.7900     1.7600    18.6183    29.4712   408.1300   154.7655  5462.8542   900.0000     0.0000     0.0000     0.0000     0.0000 
     -9.25    18.9211     0.0000     1.9211    40.1003   658.8888    39.7300     1.8600    17.8962    30.2588   419.6900   116.6131  5473.3016   900.0000     0.0000     0.0000     0.0000     0.0000 
     -9.75    18.8684     0.0000     1.8684    35.5220   657.1363    52.6700     1.9600    17.1741    31.0463   431.2500    78.4606  5483.7489   900.0000     0.0000     0.0000     0.0000     0.0000 
    -10.25    18.8158     0.0000     1.8158    61.6935   618.0500   116.7775     1.8575    20.1894    42.4475   510.5425   205.7746  5385.4363   900.0000     0.0000     0.0000     0.0000     0.0000 
    -10.75    18.7632     0.0000     1.7632   118.6149   541.6300   232.0525     1.5525    26.9420    64.4625   657.5675   498.5551  5178.3637   900.0000     0.0000     0.0000     0.0000     0.0000 
    -11.25    18.7105     0.0000     1.7105   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -11.75    18.6579     0.0000     1.6579   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -12.25    18.6053     0.0000     1.6053   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -12.75    18.5526     0.0000     1.5526   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -13.25    18.5000     0.0000     1.5000   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -13.75    18.4474     0.0000     1.4474   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -14.25    18.3947     0.0000     1.3947   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -14.75    18.3421     0.0000     1.3421   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -15.25    18.2895     0.0000     1.2895   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -15.75    18.2368     0.0000     1.2368   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -16.25    18.1842     0.0000     1.1842   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -16.75    18.1316     0.0000     1.1316   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -17.25    18.0789     0.0000     1.0789   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -17.25    18.0789     0.0000     1.0789   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
