Open boundary condition file for si3d modelLake Pool Test Hg Model -
Time is in hours from day 2023-01-01 00:00:00 UTC    - 
Data for Inflow open boundary condition
(1) Time [hrs],  (2) Qin [m3/s], (3) T [oC], (4...) Tracers 
-------------------------------------------------- 
   npts  =   250
    0.0000     0.0000     4.0000    0.0000
    0.1000     0.4000     4.0000    0.0000
    0.2000     0.8000     4.0000    0.0000
    0.3000     1.2000     4.0000    0.0000
    0.4000     1.6000     4.0000    0.0000
    0.5000     2.0000     4.0000    0.0000
    0.6000     2.4000     4.0000    0.0000
    0.7000     2.8000     4.0000    0.0000
    0.8000     3.2000     4.0000    0.0000
    0.9000     3.6000     4.0000    0.0000
    1.0000     4.0000     4.0000    0.0000
    1.1000     4.4000     4.0000    0.0000
    1.2000     4.8000     4.0000    0.0000
    1.3000     5.2000     4.0000    0.0000
    1.4000     5.6000     4.0000    0.0000
    1.5000     6.0000     4.0000    0.0000
    1.6000     6.4000     4.0000    0.0000
    1.7000     6.8000     4.0000    0.0000
    1.8000     7.2000     4.0000    0.0000
    1.9000     7.6000     4.0000    0.0000
    2.0000     8.0000     4.0000    0.0000
    2.1000     8.4000     4.0000    0.0000
    2.2000     8.8000     4.0000    0.0000
    2.3000     9.2000     4.0000    0.0000
    2.4000     9.6000     4.0000    0.0000
    2.5000    10.0000     4.0000    0.0000
    2.6000    10.4000     4.0000    0.0000
    2.7000    10.8000     4.0000    0.0000
    2.8000    11.2000     4.0000    0.0000
    2.9000    11.6000     4.0000    0.0000
    3.0000    12.0000     4.0000    0.0000
    3.1000    12.4000     4.0000    0.0000
    3.2000    12.8000     4.0000    0.0000
    3.3000    13.2000     4.0000    0.0000
    3.4000    13.6000     4.0000    0.0000
    3.5000    14.0000     4.0000    0.0000
    3.6000    14.4000     4.0000    0.0000
    3.7000    14.8000     4.0000    0.0000
    3.8000    15.2000     4.0000    0.0000
    3.9000    15.6000     4.0000    0.0000
    4.0000    16.0000     4.0000    0.0000
    4.1000    16.4000     4.0000    0.0000
    4.2000    16.8000     4.0000    0.0000
    4.3000    17.2000     4.0000    0.0000
    4.4000    17.6000     4.0000    0.0000
    4.5000    18.0000     4.0000    0.0000
    4.6000    18.4000     4.0000    0.0000
    4.7000    18.8000     4.0000    0.0000
    4.8000    19.2000     4.0000    0.0000
    4.9000    19.6000     4.0000    0.0000
    5.0000    20.0000     4.0000    0.0000
    5.1000    20.4000     4.0000    0.0000
    5.2000    20.8000     4.0000    0.0000
    5.3000    21.2000     4.0000    0.0000
    5.4000    21.6000     4.0000    0.0000
    5.5000    22.0000     4.0000    0.0000
    5.6000    22.4000     4.0000    0.0000
    5.7000    22.8000     4.0000    0.0000
    5.8000    23.2000     4.0000    0.0000
    5.9000    23.6000     4.0000    0.0000
    6.0000    24.0000     4.0000    0.0000
    6.1000    24.4000     4.0000    0.0000
    6.2000    24.8000     4.0000    0.0000
    6.3000    25.2000     4.0000    0.0000
    6.4000    25.6000     4.0000    0.0000
    6.5000    26.0000     4.0000    0.0000
    6.6000    26.4000     4.0000    0.0000
    6.7000    26.8000     4.0000    0.0000
    6.8000    27.2000     4.0000    0.0000
    6.9000    27.6000     4.0000    0.0000
    7.0000    28.0000     4.0000    0.0000
    7.1000    28.4000     4.0000    0.0000
    7.2000    28.8000     4.0000    0.0000
    7.3000    29.2000     4.0000    0.0000
    7.4000    29.6000     4.0000    0.0000
    7.5000    30.0000     4.0000    0.0000
    7.6000    30.4000     4.0000    0.0000
    7.7000    30.8000     4.0000    0.0000
    7.8000    31.2000     4.0000    0.0000
    7.9000    31.6000     4.0000    0.0000
    8.0000    32.0000     4.0000    0.0000
    8.1000    32.4000     4.0000    0.0000
    8.2000    32.8000     4.0000    0.0000
    8.3000    33.2000     4.0000    0.0000
    8.4000    33.6000     4.0000    0.0000
    8.5000    34.0000     4.0000    0.0000
    8.6000    34.4000     4.0000    0.0000
    8.7000    34.8000     4.0000    0.0000
    8.8000    35.2000     4.0000    0.0000
    8.9000    35.6000     4.0000    0.0000
    9.0000    36.0000     4.0000    0.0000
    9.1000    36.4000     4.0000    0.0000
    9.2000    36.8000     4.0000    0.0000
    9.3000    37.2000     4.0000    0.0000
    9.4000    37.6000     4.0000    0.0000
    9.5000    38.0000     4.0000    0.0000
    9.6000    38.4000     4.0000    0.0000
    9.7000    38.8000     4.0000    0.0000
    9.8000    39.2000     4.0000    0.0000
    9.9000    39.6000     4.0000    0.0000
   10.0000    40.0000     4.0000    0.0000
   10.1000    40.4000     4.0000    0.0000
   10.2000    40.8000     4.0000    0.0000
   10.3000    41.2000     4.0000    0.0000
   10.4000    41.6000     4.0000    0.0000
   10.5000    42.0000     4.0000    0.0000
   10.6000    42.4000     4.0000    0.0000
   10.7000    42.8000     4.0000    0.0000
   10.8000    43.2000     4.0000    0.0000
   10.9000    43.6000     4.0000    0.0000
   11.0000    44.0000     4.0000    0.0000
   11.1000    44.4000     4.0000    0.0000
   11.2000    44.8000     4.0000    0.0000
   11.3000    45.2000     4.0000    0.0000
   11.4000    45.6000     4.0000    0.0000
   11.5000    46.0000     4.0000    0.0000
   11.6000    46.4000     4.0000    0.0000
   11.7000    46.8000     4.0000    0.0000
   11.8000    47.2000     4.0000    0.0000
   11.9000    47.6000     4.0000    0.0000
   12.0000    48.0000     4.0000    0.0000
   12.1000    48.4000     4.0000    0.0000
   12.2000    48.8000     4.0000    0.0000
   12.3000    49.2000     4.0000    0.0000
   12.4000    49.6000     4.0000    0.0000
   12.5000    50.0000     4.0000    0.0000
   12.6000    50.0000     4.0000    0.0000
   12.7000    50.0000     4.0000    0.0000
   12.8000    50.0000     4.0000    0.0000
   12.9000    50.0000     4.0000    0.0000
   13.0000    50.0000     4.0000    0.0000
   13.1000    50.0000     4.0000    0.0000
   13.2000    50.0000     4.0000    0.0000
   13.3000    50.0000     4.0000    0.0000
   13.4000    50.0000     4.0000    0.0000
   13.5000    50.0000     4.0000    0.0000
   13.6000    50.0000     4.0000    0.0000
   13.7000    50.0000     4.0000    0.0000
   13.8000    50.0000     4.0000    0.0000
   13.9000    50.0000     4.0000    0.0000
   14.0000    50.0000     4.0000    0.0000
   14.1000    50.0000     4.0000    0.0000
   14.2000    50.0000     4.0000    0.0000
   14.3000    50.0000     4.0000    0.0000
   14.4000    50.0000     4.0000    0.0000
   14.5000    50.0000     4.0000    0.0000
   14.6000    50.0000     4.0000    0.0000
   14.7000    50.0000     4.0000    0.0000
   14.8000    50.0000     4.0000    0.0000
   14.9000    50.0000     4.0000    0.0000
   15.0000    50.0000     4.0000    0.0000
