Open boundary condition file for si3d modelLake Pool Test Hg Model -
Time is in hours from day 2023-01-01 00:00:00 UTC    - 
Data for Outflow open boundary condition
(1) Time [hrs],  (2) wse [m],  (3) T [oC],  (4...) Tracers 
-------------------------------------------------- 
   npts  =   250
    0.0000     0.0000   -20.0000  -20.0000
    0.1000     0.0000   -20.0000  -20.0000
    0.2000     0.0000   -20.0000  -20.0000
    0.3000     0.0000   -20.0000  -20.0000
    0.4000     0.0000   -20.0000  -20.0000
    0.5000     0.0000   -20.0000  -20.0000
    0.6000     0.0000   -20.0000  -20.0000
    0.7000     0.0000   -20.0000  -20.0000
    0.8000     0.0000   -20.0000  -20.0000
    0.9000     0.0000   -20.0000  -20.0000
    1.0000     0.0000   -20.0000  -20.0000
    1.1000     0.0000   -20.0000  -20.0000
    1.2000     0.0000   -20.0000  -20.0000
    1.3000     0.0000   -20.0000  -20.0000
    1.4000     0.0000   -20.0000  -20.0000
    1.5000     0.0000   -20.0000  -20.0000
    1.6000     0.0000   -20.0000  -20.0000
    1.7000     0.0000   -20.0000  -20.0000
    1.8000     0.0000   -20.0000  -20.0000
    1.9000     0.0000   -20.0000  -20.0000
    2.0000     0.0000   -20.0000  -20.0000
    2.1000     0.0000   -20.0000  -20.0000
    2.2000     0.0000   -20.0000  -20.0000
    2.3000     0.0000   -20.0000  -20.0000
    2.4000     0.0000   -20.0000  -20.0000
    2.5000     0.0000   -20.0000  -20.0000
    2.6000     0.0000   -20.0000  -20.0000
    2.7000     0.0000   -20.0000  -20.0000
    2.8000     0.0000   -20.0000  -20.0000
    2.9000     0.0000   -20.0000  -20.0000
    3.0000     0.0000   -20.0000  -20.0000
    3.1000     0.0000   -20.0000  -20.0000
    3.2000     0.0000   -20.0000  -20.0000
    3.3000     0.0000   -20.0000  -20.0000
    3.4000     0.0000   -20.0000  -20.0000
    3.5000     0.0000   -20.0000  -20.0000
    3.6000     0.0000   -20.0000  -20.0000
    3.7000     0.0000   -20.0000  -20.0000
    3.8000     0.0000   -20.0000  -20.0000
    3.9000     0.0000   -20.0000  -20.0000
    4.0000     0.0000   -20.0000  -20.0000
    4.1000     0.0000   -20.0000  -20.0000
    4.2000     0.0000   -20.0000  -20.0000
    4.3000     0.0000   -20.0000  -20.0000
    4.4000     0.0000   -20.0000  -20.0000
